datetime,windspeed,winddir
2022-08-14,28.2,207.2
2022-08-15,22.1,165.6
2022-08-16,19.5,310.0
2022-08-17,21.6,326.3
2022-08-18,37.0,287.5
2022-08-19,31.1,204.0
2022-08-20,33.9,209.8
2022-08-21,19.8,53.0
2022-08-22,11.7,39.1
2022-08-23,14.8,34.5
2022-08-24,13.9,48.5
2022-08-25,16.0,304.5
2022-08-26,13.9,329.3
2022-08-27,19.7,336.4
2022-08-28,21.3,339.7
2022-08-29,18.4,326.1
2022-08-30,21.0,31.1
2022-08-31,19.9,30.9
2022-09-01,12.9,8.2
2022-09-02,15.0,340.3
2022-09-03,16.4,308.5
2022-09-04,19.9,330.9
2022-09-05,20.8,239.4
2022-09-06,19.1,107.1
2022-09-07,18.6,17.4
2022-09-08,15.7,338.7
2022-09-09,12.8,325.8
2022-09-10,18.2,322.2
2022-09-11,18.6,321.5
2022-09-12,30.8,249.5
2022-09-13,21.6,61.3
2022-09-14,22.1,15.5
2022-09-15,14.6,324.1
2022-09-16,11.5,5.1
2022-09-17,19.4,334.8
2022-09-18,29.3,345.7
2022-09-19,45.0,327.4
2022-09-20,24.2,254.5
2022-09-21,19.7,18.6
2022-09-22,20.3,5.5
2022-09-23,13.4,349.6
2022-09-24,19.5,7.8
2022-09-25,25.5,9.2
2022-09-26,14.9,356.7
2022-09-27,20.7,45.6
2022-09-28,24.2,32.9
2022-09-29,17.0,21.2
2022-09-30,13.3,19.9
2022-10-01,12.7,338.1
2022-10-02,17.9,324.9
2022-10-03,20.2,310.5
2022-10-04,23.4,334.1
2022-10-05,25.8,14.8
2022-10-06,21.3,11.4
2022-10-07,18.9,15.9
2022-10-08,24.2,21.9
2022-10-09,24.1,258.2
2022-10-10,23.6,9.8
2022-10-11,20.3,15.8
2022-10-12,14.9,24.2
2022-10-13,20.8,29.3
2022-10-14,25.3,48.3
2022-10-15,34.5,62.5
2022-10-16,26.2,23.0
2022-10-17,18.6,315.1
2022-10-18,17.6,57.7
2022-10-19,26.1,145.2
2022-10-20,32.3,86.9
2022-10-21,21.7,136.3
2022-10-22,25.2,126.4
2022-10-23,24.3,120.5
2022-10-24,24.2,342.5
2022-10-25,27.5,282.3
2022-10-26,17.0,184.7
2022-10-27,24.2,14.6
2022-10-28,32.1,97.5
2022-10-29,23.0,32.1
2022-10-30,19.6,349.8
2022-10-31,31.9,321.2
2022-11-01,23.5,34.8
2022-11-02,23.8,21.3
2022-11-03,20.0,347.6
2022-11-04,19.9,45.2
2022-11-05,27.9,311.9
2022-11-06,22.1,4.0
2022-11-07,17.6,41.9
2022-11-08,22.2,332.6
2022-11-09,12.5,279.3
2022-11-10,30.4,62.0
2022-11-11,24.9,43.4
2022-11-12,20.6,23.0
2022-11-13,21.3,86.3
2022-11-14,25.2,90.4
2022-11-15,15.8,355.9
2022-11-16,20.3,299.6
2022-11-17,23.1,296.5
2022-11-18,22.8,303.7
2022-11-19,20.2,355.2
2022-11-20,20.3,69.2
2022-11-21,16.8,8.4
2022-11-22,23.0,204.8
2022-11-23,18.3,331.2
2022-11-24,22.7,317.8
2022-11-25,21.1,42.2
2022-11-26,36.6,343.7
2022-11-27,20.5,30.9
2022-11-28,20.1,94.6
2022-11-29,12.0,31.1
2022-11-30,15.3,180.8
2022-12-01,14.2,48.9
2022-12-02,23.7,300.8
2022-12-03,29.3,274.4
2022-12-04,23.4,339.2
2022-12-05,26.5,37.6
2022-12-06,26.5,357.6
2022-12-07,38.1,305.4
